surface,nombre_chambres,nombre_salle_bain,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,etat,neuf,balcon,terrasse,haut_standing,price,area,url
154,2,2,False,False,False,False,False,False,False,Bon état,False,False,False,True,490 000 TND,"Raouedà
				Raoued",https://www.mubawab.tn/fr/a/7926833/appart-lola-a-vendre-a-raoued-plage
150,4,3,False,False,False,False,False,False,False,Bon état,False,False,True,False,680 000 TND,"BorjCedriaà
				HammamChatt",https://www.mubawab.tn/fr/a/8096015/immeuble-iris-%C3%A0-vendre-%C3%A0-borj-cedria
150,3,3,False,False,False,False,False,False,True,Bon état,False,False,False,False,500 000 TND,"Raouedà
				Raoued",https://www.mubawab.tn/fr/a/8036176/appart-s3-ania-%C3%A0-vendre-%C3%A0-raoued
61,1,1,False,False,False,True,True,True,True,Nouveau,True,False,False,True,265 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/pa/8232437/joli-appartement-s1-%C3%A0-la-soukra
99,1,1,False,False,False,False,True,True,True,Nouveau,True,False,True,True,315 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/pa/8232484/a-vendre-s1-raffin%C3%A9-avec-terrasse-spacieuse
97,2,2,False,False,False,False,True,True,True,Nouveau,True,False,False,True,410 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/pa/8232524/appartement-s2-haut-standing-%C3%A0-la-soukra
125,2,2,False,False,False,False,True,True,True,Nouveau,True,False,True,True,427 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/pa/8232501/appartement-s2-d%E2%80%99exception-avec-terrasse
61,1,1,False,False,False,False,True,True,True,Nouveau,True,False,True,True,260 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/pa/8232438/coquet-s1-%C3%A0-r%C3%A9sidence-les-ch%C3%AAnes
213,3,3,False,False,False,True,True,True,True,Nouveau,True,False,False,True,680 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/pa/8232533/s3-d%E2%80%99exception-avec-jardin-privatif
127,2,1,False,False,False,False,True,True,True,Nouveau,True,False,True,False,420 000 TND,"Nabeulà
				Nabeul",https://www.mubawab.tn/fr/a/8245804/s2-a-vendre
110,2,2,False,False,False,False,True,True,True,Nouveau,True,False,False,False,430 000 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/a/8270178/a-vendre-un-s2-%C3%A0-chotrana-1
116,2,1,False,False,False,False,False,False,False,Bon état,False,False,True,False,388 000 TND,"HammametNordà
				Hammamet",https://www.mubawab.tn/fr/a/8019992/vente-appartement-florence-hammamet
72,2,1,False,False,False,False,True,True,True,Bon état,False,False,True,False,475 000 TND,"HammametNordà
				Hammamet",https://www.mubawab.tn/fr/a/8268966/vente-appartement-vue-mer-%C3%A0-hammamet-nord
109,2,1,False,False,False,True,True,True,False,Bon état,False,False,False,False,295 000 TND,"LesJardinsd'ElMenzah2à
				ArianaVille",https://www.mubawab.tn/fr/a/8257524/a-vendre-appartement-s2-%C3%A0-jardin-d-el-menzah-2
