surface,nombre_chambres,nombre_salle_bain,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,etat,neuf,balcon,terrasse,haut_standing,price,area,url
300,6,3,False,False,False,False,False,False,False,Bon état,False,False,False,False,700 000 TND,"BenArousà
				BenArous",https://www.mubawab.tn/fr/a/8266765/immeuble-benedicte-%C3%A0-vendre-%C3%A0-boumhal
360,5,4,False,False,False,True,True,True,False,Bon état,False,False,True,False,650 000 TND,"BeniKhiarà
				BeniKhiar",https://www.mubawab.tn/fr/a/8216945/%C3%A0-vendre-%C3%A0-b%C3%A9ni-khiar-maison-de-plusieurs-niveaux
101,1,1,False,False,False,True,False,False,False,Bon état,False,False,True,False,145 000 TND,"CitéEnnourJaafarà
				Raoued",https://www.mubawab.tn/fr/a/8143379/a-vendre-petite-maisonnette-en-s1-%C3%A0-ariana
280,3,1,False,False,False,True,False,False,False,Nouveau,True,False,False,False,380 000 TND,"CitédesJugesà
				LaMarsa",https://www.mubawab.tn/fr/a/8266895/%C3%A0-vendre-%E2%80%93-villa-de-plain-pied-%C3%A0-r%C3%A9nover-situ%C3%A9e-%C3%A0
150,4,3,False,True,False,False,False,False,False,Bon état,False,False,False,False,650 000 TND,Aghir,https://www.mubawab.tn/fr/a/8265991/villa-a-%C3%A0-vendre-%E2%80%93-style-djerbien
858,4,2,False,False,False,True,False,False,False,À rénover,False,False,True,False,750 000 TND,"SousseVilleà
				SousseVille",https://www.mubawab.tn/fr/a/8065812/projet-pour-promotion-immobiliere
200,2,3,False,True,False,True,True,True,False,Bon état,False,False,True,False,490 000 TND,"HammametNordà
				Hammamet",https://www.mubawab.tn/fr/a/8230628/maison-chraf-%C3%A0-vendre
220,3,3,False,False,False,False,False,True,False,Bon état,False,False,True,False,440 000 TND,"ElMenzah6à
				ArianaVille",https://www.mubawab.tn/fr/a/8126376/triplex-s3-de-180m2-a-les-uv4-menzah-6
635,5,4,False,True,False,True,True,True,False,Bon état,False,False,False,False,950 000 TND,"LesJardinsd'ElMenzah2à
				ArianaVille",https://www.mubawab.tn/fr/a/8237529/triplex-avec-piscine-aux-jardins-d-el-menzah-2
711,16,8,False,False,False,True,True,False,True,Bon état,False,False,True,False,1 990 000 TND,"CitéEnnasr2à
				ArianaVille",https://www.mubawab.tn/fr/a/8224202/triplex-a-vendre-%C3%A0-ennaser
