id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat
2568,160,3,3,0,0,0,0,1,0,1,0,1,1,0,700000,1,36.8547834,10.2985614,Ariana
2569,170,3,3,0,1,1,0,1,1,1,1,1,1,0,730000,1,36.8547834,10.2985614,Ariana
2607,166,3,3,0,1,0,0,1,1,1,0,1,1,0,830000,1,36.8547834,10.2985614,Ariana
2630,166,3,1,0,1,0,0,0,0,1,0,0,0,0,830000,1,36.8547834,10.2985614,Ariana
2631,174,3,2,0,1,1,0,1,0,1,0,0,0,0,1034000,1,36.8547834,10.2985614,Ariana
2641,192,3,3,0,1,1,7,1,1,1,0,1,1,0,750000,1,36.8547834,10.2985614,Ariana
2642,115,2,1,0,1,1,1,1,1,1,0,1,1,1,620000,1,36.8547834,10.2985614,Ariana
2654,106,2,2,0,1,1,0,1,1,1,0,1,1,0,566000,1,36.8547834,10.2985614,Ariana
2665,113,2,1,0,1,1,1,1,1,1,0,1,1,0,390000,1,36.8547834,10.2985614,Ariana
2676,168,3,3,0,1,0,0,1,1,0,1,1,1,1,755000,1,36.8547834,10.2985614,Ariana
2684,183,3,2,0,0,0,4,1,1,1,1,1,1,0,750000,1,36.8547834,10.2985614,Ariana
2690,155,2,3,0,1,0,0,1,1,1,1,1,1,0,710000,1,36.8547834,10.2985614,Ariana
2729,110,2,1,0,1,1,2,1,1,1,0,1,1,0,595000,1,36.8547834,10.2985614,Ariana
2730,173,3,2,0,1,0,3,1,1,1,0,1,1,0,1033000,1,36.8547834,10.2985614,Ariana
2771,89,2,1,0,0,0,6,0,1,0,1,1,1,1,620000,1,36.8547834,10.2985614,Ariana
2797,247,4,1,0,1,1,0,1,0,1,0,0,0,0,1600000,1,36.8547834,10.2985614,Ariana
2811,170,3,2,0,1,0,0,1,1,1,0,1,1,0,1071000,1,36.8547834,10.2985614,Ariana
2813,110,2,1,0,1,1,0,1,1,1,0,1,1,0,680000,1,36.8547834,10.2985614,Ariana
2814,65,1,1,0,1,0,0,1,1,1,0,1,1,0,415000,1,36.8547834,10.2985614,Ariana
2837,223,3,4,0,1,1,0,0,1,1,0,1,1,1,1780000,1,36.8547834,10.2985614,Ariana
2838,62,1,1,0,1,1,0,0,1,1,0,0,0,0,500000,1,36.8547834,10.2985614,Ariana
2841,178,4,3,0,1,0,3,1,1,1,1,1,1,0,710000,1,36.8547834,10.2985614,Ariana
2851,188,3,3,0,1,0,0,0,1,1,0,1,1,0,1280000,1,36.8547834,10.2985614,Ariana
2854,76,1,1,0,0,0,1,0,1,1,0,1,1,0,330000,1,36.8547834,10.2985614,Ariana
2890,148,2,3,0,1,1,0,1,1,1,0,1,1,1,750000,1,36.8547834,10.2985614,Ariana
2891,223,4,4,0,1,1,0,0,0,1,0,1,1,1,1800000,1,36.8547834,10.2985614,Ariana
2903,87,2,1,0,0,0,1,0,1,0,0,1,1,0,430000,1,36.8547834,10.2985614,Ariana
2924,103,2,1,0,1,0,3,1,1,1,1,1,1,1,600000,1,36.8547834,10.2985614,Ariana
2925,62,1,1,0,1,0,0,1,1,1,0,1,1,0,360000,1,36.8547834,10.2985614,Ariana
2935,200,1,1,0,0,0,0,0,1,0,0,1,1,0,320000,1,36.8547834,10.2985614,Ariana
2941,170,3,2,0,1,1,3,1,1,1,0,1,1,0,835000,1,36.8547834,10.2985614,Ariana
2951,68,1,1,0,1,0,4,1,1,0,0,0,0,0,397000,1,36.8547834,10.2985614,Ariana
2953,145,3,2,0,1,0,7,1,1,1,0,1,1,0,470000,1,36.8547834,10.2985614,Ariana
2954,92,2,1,0,1,1,1,1,1,1,0,1,1,0,515000,1,36.8547834,10.2985614,Ariana
2977,124,2,1,0,1,1,1,1,1,1,0,1,1,0,475000,1,36.8547834,10.2985614,Ariana
