id,nombre_des_chambres_df_results,nombre_des_chambres_df_final
68dd3de707c7711d7c7a1fa4,0,3.0
6902007fb756576ab40b2cb3,3,3.0
6901ff43d0d95991e1077a48,4,4.0
6903097ab756576ab40bb0ed,9,12.0
68e3a1786c505afdc05f786e,4,4.0
690089a3d0d95991e1069da7,5,5.0
69022974d0d95991e1079a6c,3,3.0
69033381b756576ab40bcbfe,0,1.0
67347bd83c20a99fb54edfff,7,8.0
690110c3d0d95991e10708a7,0,4.0
68f6242a5709529b94aa45f4,0,9.0
68b2cce6df9d8936c1026f38,3,4.0
6901109fd0d95991e1070888,0,8.0
68f908b7b756576ab40659b2,0,7.0
68ff80c1d0d95991e106196e,0,7.0
68d678dd516f1ddb82e3923c,0,6.0
68ff616ed1363f4f82bbfe8f,5,6.0
68a5d83fccec382a0d7187f6,5,5.0
68ffa954b756576ab409e5f5,2,3.0
68ff75f5a8da4ccab904ef3f,4,4.0
690089ced0d95991e1069dce,3,3.0
68fe7a13d0d95991e105a427,5,5.0
68fe56e3d0d95991e1058a3f,2,3.0
68fd4210d0d95991e1050f92,5,5.0
68c82f9b07c7711d7c6d4a7b,6,3.0
68ff3224d0d95991e105e691,2,4.0
68fe78d2b756576ab4094f1f,2,2.0
6839aaeea2a7af1206228286,4,5.0
68fcf49ed0d95991e104d8f7,4,8.0
68f6215c5709529b94aa446a,4,3.0
68fe692ad0d95991e10596a9,3,4.0
68ff5711d0d95991e105fe2f,4,6.0
68fd281ed0d95991e104fb7b,4,4.0
68c055c9c4782c5427af745d,0,5.0
68fa475dd0d95991e10360b3,6,6.0
68fbca9dd0d95991e10443a4,0,5.0
68fa4174b756576ab4070824,3,3.0
68fb89f4b756576ab407c03e,0,2.0
68fb3cbdd0d95991e103d7d0,0,5.0
68fb77d2b756576ab407b157,4,4.0
68fc943ed0d95991e1049642,0,3.0
68fa4131b756576ab40707ea,0,3.0
68fa2138b756576ab406ed2d,2,3.0
68f8bc9bb756576ab4062074,2,4.0
68f8b534d0d95991e1027066,4,5.0
67a3310becbb2843cb40b8a2,0,5.0
68f7af7fb756576ab40599ca,2,3.0
67f1223fca3467b14e74bb2e,3,3.0
68f8f378d0d95991e1029f56,0,4.0
68f896c7d0d95991e10255ea,5,5.0
68f8de7fd0d95991e1028efe,5,5.0
68fa002ad0d95991e10325e5,0,8.0
68f8b017b756576ab4061690,4,4.0
68f911f2d0d95991e102b513,0,2.0
68f65b1bb756576ab404db87,4,4.0
68f612c0b756576ab4049ee3,3,3.0
68f62909d0d95991e10104a8,2,2.0
68f772add0d95991e101bf4f,8,4.0
685bbb7fd5464a896c9ab66a,1,1.0
68f67681d0d95991e101462e,2,3.0
68f60e376bcfa867f54df90c,0,5.0
68f767c7b756576ab4056273,2,2.0
68f621ca5709529b94aa44ad,2,2.0
68d5202207c7711d7c753fd1,0,7.0
67372ba70d8480a1e00ef3ca,3,3.0
68f62ca4223685127da5dc28,4,4.0
68dd1e6307c7711d7c7a02cf,3,3.0
68f74d23b756576ab4054960,2,2.0
68f6218fb756576ab404a884,0,7.0
