,id,url,titre,categorie,gouvernorat,neuf,source
68,68,https://www.tayara.tn/item/maisons-et-villas/ariana/riadh-andalous/maison-indpendante-272-m-cit-el-ghazela/693972d18914daae51991cae/,Maison Indépendante 272 M² À Cité El Ghazela,Maisons et Villas,Ariana,False,tayara
69,69,https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/a-vendre-villa-ilhem-yasmine-hammamet-53564536/69394369cd04d08be74888bc/,"A vendre villa ""Ilhem"" à Yasmine Hammamet 53.564.536",Maisons et Villas,tunis,False,tayara
70,70,https://www.tayara.tn/item/appartements/ben-arous/el-mourouj-1/-vendre-appartement-s2-au-1er-tage-el-mourouj-1/693a9d068914daae51999595/,à vendre appartement s+2 au 1er étage à El Mourouj 1,Appartements,Ben Arous,False,tayara
71,71,https://www.tayara.tn/item/appartements/ben-arous/boumhel/a-vendre-appartement-s1-boumhel/693a9c91cd04d08be7491f3e/,A VENDRE APPARTEMENT S+1 BOUMHEL,Appartements,Ben Arous,False,tayara
72,72,https://www.tayara.tn/item/appartements/nabeul/mrezga/a-vendre-un-s1-en-cours-de-construction-dans-une-rsidence-avec-piscine-afh-mrezga-nabeul/673de6ab0d8480a1e0130d7c/,"A Vendre un S+1, en cours de construction, dans une résidence avec piscine à AFH Mrezga Nabeul.",Appartements,Nabeul,False,tayara
73,73,https://www.tayara.tn/item/maisons-et-villas/nabeul/hammam-ghezze/maison-120-mtres-plage-hammam-ghzeez/689734b3dbb2ce981b9b66e3/,Maison à 120 mètres  plage hammam ghzeez,Maisons et Villas,Nabeul,False,tayara
74,74,https://www.tayara.tn/item/appartements/ben-arous/ezzahra/appartement-s1-ezzahra/693a9bb3cd04d08be7491ec3/,APPARTEMENT S+1 EZZAHRA,Appartements,Ben Arous,False,tayara
75,75,https://www.tayara.tn/item/appartements/nabeul/mrezga/un-appartement-s2-dans-une-rsidence-garde-vue-sur-piscine-afh2-mrezga-nabeul/68149a21c5beda2b51d5b2d0/,Un appartement S+2 dans une résidence gardée vue sur piscine à AFH2 Mrezga Nabeul.,Appartements,Nabeul,False,tayara
76,76,https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s1-chat-mariem-vendre/693a996bcd04d08be7491d79/,appartement S+1 à Chat mariem à vendre,Appartements,tunis,False,tayara
77,77,https://www.tayara.tn/item/maisons-et-villas/tunis/tunis/duplex-s4-en-vente/68cbcd8b516f1ddb82dcebb8/,Duplex  S+4 en vente,Maisons et Villas,tunis,False,tayara
78,78,https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-5/villa-individuelle-sur-artre-principale-a-vendre/68d17789516f1ddb82e091e3/,Villa individuelle sur artère principale a vendre,Maisons et Villas,Ariana,False,tayara
79,79,https://www.tayara.tn/item/appartements/ariana/el-menzah-6/villa-individuelle-en-vente-a-el-menzah-6/68e78c723e7ffb8ac156f8db/,Villa individuelle en vente a El Menzah 6,Appartements,Ariana,False,tayara
80,80,https://www.tayara.tn/item/appartements/ariana/el-menzah-6/s3-a-vendre-el-menzah-6/68f600cbd0d95991e100ea99/,S+3 a vendre à El Menzah 6,Appartements,Ariana,False,tayara
81,81,https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-5/villa-individuelle-a-vendre-el-menzah-5/690cdc4f8e4e0e4acb5ea2e7/,Villa individuelle a vendre à El Menzah 5,Maisons et Villas,Ariana,False,tayara
